date,resting_hr,min_hr,max_hr,measurements
2021-05-15,70.9,56.0,159.0,388
2021-05-16,62.0,58.0,126.0,247
2021-05-17,56.1,53.0,123.0,275
2021-05-18,59.5,50.0,139.0,237
2021-05-20,60.8,43.0,118.1,183
2021-05-21,59.5,57.0,99.0,174
2021-05-22,60.8,57.0,123.0,137
2021-05-23,56.1,54.0,124.8,287
2021-05-24,58.9,56.0,143.0,268
2021-05-25,53.8,53.0,129.0,253
2021-05-26,55.1,53.0,117.0,236
2021-05-27,57.5,53.0,107.0,174
2021-05-28,65.5,57.0,123.0,213
2021-05-29,62.7,60.0,96.0,202
2021-05-30,61.7,59.0,120.0,230
2021-05-31,58.1,51.0,115.0,185
2021-06-01,57.5,53.0,106.0,184
2021-06-02,62.9,60.0,143.0,204
2021-06-03,58.5,55.0,109.0,173
2021-06-04,61.2,51.0,135.0,176
2021-06-05,61.6,50.0,170.0,304
2021-06-06,62.7,60.0,121.0,159
2021-06-07,59.2,55.0,133.0,224
2021-06-08,59.2,48.0,115.4,195
2021-06-09,62.0,41.0,162.0,570
2021-06-10,61.4,56.0,118.0,203
2021-06-11,64.6,59.0,127.0,207
2021-06-12,61.5,55.0,151.0,561
2021-06-13,61.0,59.0,107.0,185
2021-06-14,56.5,49.0,100.0,125
2021-06-15,55.4,51.0,116.7,254
2021-06-16,61.8,57.0,135.3,251
2021-06-17,64.0,54.0,132.0,195
2021-06-18,62.8,60.0,127.3,231
2021-06-19,67.6,52.0,138.0,509
2021-06-20,60.3,57.0,96.0,144
2021-06-21,54.0,45.0,97.0,197
2021-06-22,49.7,46.0,79.0,188
2021-06-23,57.1,54.0,113.8,160
2021-06-24,60.3,57.0,112.0,212
2021-06-25,59.9,56.0,121.0,206
2021-06-26,61.9,55.0,117.0,176
2021-06-27,55.4,52.0,89.0,150
2021-06-28,58.3,56.0,136.4,204
2021-06-29,58.2,54.0,115.7,207
2021-06-30,59.0,57.0,110.0,128
2021-07-01,55.6,52.0,98.0,162
2021-07-02,60.4,56.0,119.0,197
2021-07-03,66.6,59.0,127.0,149
2021-07-04,54.8,49.0,104.0,111
2021-07-05,59.0,50.0,89.0,139
2021-07-06,56.5,53.0,107.0,188
2021-07-07,57.8,51.0,141.0,430
2021-07-08,57.6,52.0,102.0,191
2021-07-09,60.4,57.0,117.3,169
2021-07-10,64.6,59.0,120.0,173
2021-07-11,51.7,43.0,116.0,210
2021-07-12,56.6,42.0,89.0,158
2021-07-13,58.9,56.0,117.3,201
2021-07-14,56.1,48.0,107.0,116
2021-07-15,59.9,56.0,88.0,74
2021-07-16,64.2,51.0,170.1,323
2021-07-17,59.1,57.0,102.0,149
2021-07-18,62.2,60.0,85.0,101
