start_time,km,split_time_sec,split_pace_min,avg_speed_ms,date
2020-06-05 16:56:43,1,814.0,13.57,1.23,2020-06-05
2020-06-05 16:56:43,2,782.0,13.03,1.28,2020-06-05
2020-06-05 16:56:43,3,1157.0,19.28,1.03,2020-06-05
2020-06-05 16:56:43,4,1024.0,17.07,1.04,2020-06-05
2020-06-05 16:56:43,5,836.0,13.93,1.2,2020-06-05
2020-06-05 16:56:43,6,824.0,13.73,1.21,2020-06-05
2020-06-05 16:56:43,7,826.0,13.77,1.21,2020-06-05
2020-06-06 10:01:41,1,641.0,10.68,1.56,2020-06-06
2020-06-06 10:01:41,2,651.0,10.85,1.54,2020-06-06
2020-06-06 11:02:14,1,681.0,11.35,1.47,2020-06-06
2020-06-06 11:02:14,2,657.0,10.95,1.52,2020-06-06
2020-06-06 14:20:49,1,677.0,11.28,1.53,2020-06-06
2020-06-06 14:20:49,2,716.0,11.93,1.4,2020-06-06
2020-06-06 14:20:49,3,719.0,11.98,1.39,2020-06-06
2020-06-06 14:20:49,4,672.0,11.2,1.49,2020-06-06
2020-06-07 12:32:52,1,595.0,9.92,1.68,2020-06-07
2020-06-07 12:32:52,2,657.0,10.95,1.52,2020-06-07
2020-06-07 12:32:52,3,1080.0,18.0,1.23,2020-06-07
2020-06-07 12:32:52,4,760.0,12.67,1.32,2020-06-07
2020-06-07 14:42:36,1,742.0,12.37,1.35,2020-06-07
2020-06-07 14:42:36,2,794.0,13.23,1.26,2020-06-07
2020-06-07 14:42:36,3,638.0,10.63,1.57,2020-06-07
2020-06-10 10:48:14,1,735.0,12.25,1.37,2020-06-10
2020-06-10 12:36:35,1,792.0,13.2,1.27,2020-06-10
2020-06-11 12:27:02,1,663.0,11.05,1.51,2020-06-11
2020-06-11 12:27:02,2,676.0,11.27,1.48,2020-06-11
2020-06-11 12:27:02,3,693.0,11.55,1.44,2020-06-11
2020-06-12 15:00:44,1,710.0,11.83,1.41,2020-06-12
2020-06-12 15:00:44,2,798.0,13.3,1.26,2020-06-12
2020-06-12 15:00:44,3,1022.0,17.03,0.98,2020-06-12
2020-06-12 15:00:44,4,737.0,12.28,1.36,2020-06-12
2020-06-12 15:00:44,5,752.0,12.53,1.33,2020-06-12
2020-06-13 11:09:37,1,730.0,12.17,1.37,2020-06-13
2020-06-13 09:57:43,1,736.0,12.27,1.36,2020-06-13
2020-06-13 09:57:43,2,727.0,12.12,1.38,2020-06-13
2020-06-13 12:48:15,1,741.0,12.35,1.35,2020-06-13
2020-06-13 12:48:15,2,734.0,12.23,1.36,2020-06-13
2020-06-13 12:48:15,3,716.0,11.93,1.4,2020-06-13
2020-06-18 11:24:42,1,670.0,11.17,1.5,2020-06-18
2020-06-18 13:07:33,1,749.0,12.48,1.34,2020-06-18
2020-06-18 13:07:33,2,852.0,14.2,1.24,2020-06-18
2020-06-18 13:07:33,3,811.0,13.52,1.23,2020-06-18
2020-06-19 13:50:36,1,702.0,11.7,1.43,2020-06-19
2020-06-19 13:50:36,2,717.0,11.95,1.39,2020-06-19
2020-06-19 13:50:36,3,745.0,12.42,1.34,2020-06-19
2020-06-19 15:48:58,1,754.0,12.57,1.33,2020-06-19
2020-06-19 15:48:58,2,810.0,13.5,1.23,2020-06-19
2020-06-19 15:48:58,3,721.0,12.02,1.39,2020-06-19
2020-06-20 10:26:54,1,707.0,11.78,1.42,2020-06-20
2020-06-20 10:26:54,2,714.0,11.9,1.4,2020-06-20
2020-06-20 11:58:57,1,674.0,11.23,1.49,2020-06-20
2020-06-21 13:05:24,1,713.0,11.88,1.41,2020-06-21
2020-06-21 13:05:24,2,671.0,11.18,1.5,2020-06-21
2020-06-21 13:05:24,3,682.0,11.37,1.47,2020-06-21
2020-06-21 13:05:24,4,711.0,11.85,1.41,2020-06-21
