date,steps
2020-10-26,2876
2020-10-27,6783
2020-10-28,6679
2020-10-29,5316
2020-10-30,12617
2020-10-31,25783
2020-11-01,29033
2020-11-02,3653
2020-11-03,2571
2020-11-04,665
2020-11-05,8545
2020-11-06,1077
2020-11-07,36388
2020-11-08,1139
2020-11-09,10873
2020-11-10,6286
2020-11-11,15801
2020-11-12,1754
2020-11-13,28127
2020-11-14,11773
2020-11-15,13614
2020-11-16,1663
2020-11-17,7597
2020-11-18,1664
2020-11-19,4525
2020-11-20,7209
2020-11-21,3904
2020-11-22,2396
2020-11-23,2200
2020-11-24,3136
2020-11-25,4498
2020-11-26,5346
2020-11-27,16534
2020-11-28,7372
2020-11-29,5798
2020-11-30,10102
2020-12-01,14925
2020-12-02,2135
2020-12-03,3736
2020-12-04,10987
2020-12-05,6043
2020-12-06,19621
2020-12-07,3119
2020-12-08,13135
2020-12-09,6320
2020-12-10,2719
2020-12-11,8140
2020-12-12,24777
2020-12-13,7367
2020-12-14,2370
2020-12-15,3025
2020-12-16,34207
2020-12-17,7378
2020-12-18,3605
2020-12-19,16467
2020-12-20,28539
2020-12-21,3033
2020-12-22,2110
2020-12-23,6115
2020-12-24,6523
2020-12-25,5809
2020-12-26,26204
2020-12-27,8506
2020-12-28,18088
2020-12-29,7046
2020-12-30,7554
2020-12-31,25807
2021-01-01,11151
2021-01-02,964
2021-01-03,2636
2021-01-04,10203
2021-01-05,2271
2021-01-06,7389
2021-01-07,2717
2021-01-08,20550
2021-01-09,7509
2021-01-10,30250
2021-01-11,1210
2021-01-12,8674
2021-01-13,1630
2021-01-14,2332
2021-01-15,3875
2021-01-16,17251
2021-01-17,21052
2021-01-18,6534
2021-01-19,2458
2021-01-20,1855
2021-01-21,4624
2021-01-22,2741
2021-01-23,26175
2021-01-24,5425
2021-01-25,3426
2021-01-26,845
2021-01-27,15247
2021-01-28,1157
2021-01-29,24449
2021-01-30,5342
2021-01-31,4102
2021-02-01,3323
2021-02-02,5943
2021-02-03,841
2021-02-04,7623
2021-02-05,19689
2021-02-06,6345
2021-02-07,35312
2021-02-08,2069
2021-02-09,858
2021-02-10,27386
2021-02-11,6696
2021-02-12,3808
2021-02-13,23866
2021-02-14,4087
2021-02-15,6701
2021-02-16,2047
2021-02-17,1723
2021-02-18,2855
2021-02-19,6397
2021-02-20,34037
2021-02-21,18550
2021-02-22,20783
2021-02-23,5163
2021-02-24,16817
2021-02-25,6150
2021-02-26,5485
2021-02-27,3578
2021-02-28,16915
2021-03-01,2951
2021-03-02,3268
2021-03-03,3336
2021-03-04,667
2021-03-05,6879
2021-03-06,26104
2021-03-07,15823
2021-03-08,9103
2021-03-09,6582
2021-03-10,10010
2021-03-11,983
2021-03-12,5624
2021-03-13,19634
2021-03-14,4636
2021-03-15,15401
2021-03-16,9853
2021-03-17,3685
2021-03-18,13566
2021-03-19,4952
2021-03-20,20446
2021-03-21,1322
2021-03-22,7001
2021-03-23,1782
2021-03-24,17337
2021-03-25,1780
2021-03-26,2237
2021-03-27,6765
2021-03-28,1757
2021-03-29,522
2021-03-30,6954
2021-03-31,21218
2021-04-01,14286
2021-04-02,14896
2021-04-03,16825
2021-04-04,15774
2021-04-05,4098
2021-04-06,8279
2021-04-07,3984
2021-04-08,27002
2021-04-09,8373
2021-04-10,17103
2021-04-11,10399
2021-04-12,25541
2021-04-13,13664
2021-04-14,7933
2021-04-15,4548
2021-04-16,5765
2021-04-17,8005
2021-04-18,16557
2021-04-19,7051
2021-04-20,2491
2021-04-21,5627
2021-04-22,5287
2021-04-23,4045
2021-04-24,34976
2021-04-25,30762
2021-04-26,3710
2021-04-27,2091
2021-04-28,3895
2021-04-29,2110
2021-04-30,2263
2021-05-01,24149
2021-05-02,9400
2021-05-03,2618
2021-05-04,3196
2021-05-05,15158
2021-05-06,7039
2021-05-07,3223
2021-05-08,23515
2021-05-09,3415
2021-05-10,8618
2021-05-11,1847
2021-05-12,3828
2021-05-13,10691
2021-05-14,19464
2021-05-15,29826
2021-05-16,13116
2021-05-17,14479
2021-05-18,6253
2021-05-19,1611
2021-05-20,14503
2021-05-21,12048
2021-05-22,10535
2021-05-23,16897
2021-05-24,20963
2021-05-25,9465
2021-05-26,12631
2021-05-27,9839
2021-05-28,15219
2021-05-29,14549
2021-05-30,26110
2021-05-31,3620
2021-06-01,15456
2021-06-02,20249
2021-06-03,18662
2021-06-04,9787
2021-06-05,37113
2021-06-06,11507
2021-06-07,21604
2021-06-08,27021
2021-06-09,20546
2021-06-10,13788
2021-06-11,9601
2021-06-12,24925
2021-06-13,17446
2021-06-14,18814
2021-06-15,10054
2021-06-16,11057
2021-06-17,12178
2021-06-18,12673
2021-06-19,31386
2021-06-20,3608
2021-06-21,7280
2021-06-22,9083
2021-06-23,9729
2021-06-24,8818
2021-06-25,11930
2021-06-26,12751
2021-06-27,4048
2021-06-28,9273
2021-06-29,9738
2021-06-30,9714
2021-07-01,11335
2021-07-02,17442
2021-07-03,17219
2021-07-04,5334
2021-07-05,9106
2021-07-06,17551
2021-07-07,18212
2021-07-08,9650
2021-07-09,8584
2021-07-10,9575
2021-07-11,14117
2021-07-12,5359
2021-07-13,7259
2021-07-14,4972
2021-07-15,8448
2021-07-16,44311
2021-07-17,33969
2021-07-18,1268
2021-07-19,24315
2021-07-20,7482
2021-07-21,8197
2021-07-22,4692
2021-07-23,8089
2021-07-24,8662
2021-07-25,5156
2021-07-26,7359
2021-07-27,12500
2021-07-28,10153
2021-07-29,6488
2021-07-30,8644
2021-07-31,10675
2021-08-01,4789
2021-08-02,3503
2021-08-03,3014
2021-08-04,10127
2021-08-05,4910
2021-08-06,15661
2021-08-07,2479
2021-08-08,14297
2021-08-09,2887
2021-08-10,16528
2021-08-11,18823
2021-08-12,6608
2021-08-13,10588
2021-08-14,8880
2021-08-15,12276
2021-08-16,6170
2021-08-17,8088
2021-08-18,6425
2021-08-19,5370
2021-08-20,10297
2021-08-21,27144
2021-08-22,5555
2021-08-23,5737
2021-08-24,6576
2021-08-25,838
2021-08-26,11889
2021-08-27,6849
2021-08-28,5259
2021-08-29,19030
2021-08-30,15467
2021-08-31,7934
2021-09-01,6418
2021-09-02,10205
2021-09-03,18330
2021-09-04,21373
2021-09-05,6134
2021-09-06,6704
2021-09-07,23239
